borehole_id,id,source_id,measurement_origin,date_min,date_max,time,utc_offset,equilibrium,notes
158,1,muller1976,digitized-discrete,1974-08-25,1974-08-25,,,true,equilibrium: Verified by control measurements a year later (blatter1985 Section 2.1.1)
159,1,muller1976,digitized-discrete,1974-08-25,1974-08-25,,,true,equilibrium: Verified by control measurements a year later (blatter1985 Section 2.1.1)
160,1,muller1976,digitized-discrete,1974-08-25,1974-08-25,,,true,equilibrium: Verified by control measurements a year later (blatter1985 Section 2.1.1)
161,1,naftz1993,published,1990-07-01,1991-08-31,,,,equilibrium: '4-d equilibration period' but no statement that equilibrium was reached
162,1,odegard1997,digitized-discrete,1994-04-23,1995-04-30,,,,date_max: Based on dates of velocity measurements (nuttall1997)
163,1,odegard1997,digitized-discrete,1994-04-28,1995-04-30,,,,date_max: Based on dates of velocity measurements (nuttall1997)
164,1,paterson1971,digitized-discrete,1967-04-01,1967-06-30,,,true,measurement_origin: Minimum of two thermistors at each depth in Figure 2
164,2,paterson1971,digitized-discrete,1967-04-01,1967-06-30,,,true,measurement_origin: Maximum of two thermistors at each depth in Figure 2
165,1,paterson1971,digitized-discrete,1967-06-01,1969-08-31,,,true,measurement_origin: Minimum of two thermistors at each depth in Figure 2
165,2,paterson1971,digitized-discrete,1967-06-01,1969-08-31,,,true,measurement_origin: Maximum of two thermistors at each depth in Figure 2
166,1,paterson1971,digitized-discrete,1968-08-01,1969-08-31,,,true,measurement_origin: Minimum of two thermistors at each depth in Figure 2
166,2,paterson1971,digitized-discrete,1968-08-01,1969-08-31,,,true,measurement_origin: Maximum of two thermistors at each depth in Figure 2
167,1,pettersson2003,digitized-continuous,2002-04-01,2002-04-30,,,,
168,1,herren2013,digitized-discrete,2009-07-01,2009-07-31,,,,
171,1,ryser2013,digitized-discrete,2010-06-15,2010-06-25,,,true,equilibrium: Achieved by extrapolation from 10 days of measurements
173,1,ryser2013,digitized-discrete,2008-06-09,2008-06-19,,,true,equilibrium: Achieved by extrapolation from 10 days of measurements
175,1,ryser2013,digitized-discrete,2006-05-27,2006-06-06,,,true,equilibrium: Achieved by extrapolation from 10 days of measurements
176,1,ryser2013,digitized-discrete,2010-06-13,2010-06-23,,,true,equilibrium: Achieved by extrapolation from 10 days of measurements
177,1,ryser2013,digitized-discrete,2008-06-10,2008-06-20,,,true,equilibrium: Achieved by extrapolation from 10 days of measurements
178,1,ryser2013,digitized-discrete,2008-06-11,2008-06-21,,,true,equilibrium: Achieved by extrapolation from 10 days of measurements
179,1,schwikowski2013,digitized-discrete,2006-08-19,2006-08-31,,,,
180,1,shiraiwa2001,digitized-continuous,1996-08-02,1996-08-31,,,,
180,2,shiraiwa2001,digitized-continuous,1996-09-01,1996-09-30,,,true,
180,3,shiraiwa2001,digitized-continuous,1996-10-01,1996-10-31,,,true,
180,4,shiraiwa2001,digitized-continuous,1996-11-01,1996-11-30,,,true,
180,5,shiraiwa2001,digitized-continuous,1996-12-01,1996-12-31,,,true,
180,6,shiraiwa2001,digitized-continuous,1997-01-01,1997-01-31,,,true,
180,7,shiraiwa2001,digitized-continuous,1997-02-01,1997-02-28,,,true,
180,8,shiraiwa2001,digitized-continuous,1997-03-01,1997-03-31,,,true,
180,9,shiraiwa2001,digitized-continuous,1997-04-01,1997-04-30,,,true,
180,10,shiraiwa2001,digitized-continuous,1997-05-01,1997-05-31,,,true,
180,11,shiraiwa2001,digitized-continuous,1997-06-01,1997-06-30,,,true,
180,12,shiraiwa2001,digitized-continuous,1997-07-01,1997-07-31,,,true,
181,1,shiraiwa2001,digitized-discrete,1998-06-30,1998-07-01,,,,
181,2,shiraiwa2001,digitized-discrete,1999-08-06,1999-08-07,,,true,
182,1,signer2014,digitized-discrete,2013-11-17,2013-11-17,,,,
182,2,signer2014,digitized-discrete,2014-09-11,2014-09-11,,,,
183,1,signer2014,published,2014-09-11,2014-09-11,,,,
184,1,signer2014,published,2014-09-04,2014-09-04,,,,
185,1,signer2014,published,2014-09-04,2014-09-04,,,,
186,1,sobota2011,digitized-continuous,2008-09-01,2008-09-30,,,,
186,2,sobota2011,digitized-continuous,2008-10-01,2008-10-31,,,,
186,3,sobota2011,digitized-continuous,2008-11-01,2008-11-30,,,,
186,4,sobota2011,digitized-continuous,2008-12-01,2008-12-31,,,,
186,5,sobota2011,digitized-continuous,2009-01-01,2009-01-31,,,,
186,6,sobota2011,digitized-continuous,2009-02-01,2009-02-28,,,,
186,7,sobota2011,digitized-continuous,2009-03-01,2009-03-31,,,,
186,8,sobota2011,digitized-continuous,2009-04-01,2009-04-30,,,,
186,9,sobota2011,digitized-continuous,2009-05-01,2009-05-31,,,,
186,10,sobota2011,digitized-continuous,2009-06-01,2009-06-30,,,,
186,11,sobota2011,digitized-continuous,2009-07-01,2009-07-31,,,,
186,12,sobota2011,digitized-continuous,2009-08-01,2009-08-31,,,,
187,1,odegard1992,digitized-continuous,1990-07-15,1992-07-27,,,,measurement_origin: Minimum values measured at each depth
187,2,odegard1992,digitized-continuous,1990-07-15,1992-07-27,,,,measurement_origin: Maximum values measured at each depth
189,1,odegard1992,digitized-continuous,1990-07-15,1992-07-27,,,,measurement_origin: Minimum values measured at each depth
189,2,odegard1992,digitized-continuous,1990-07-15,1992-07-27,,,,measurement_origin: Maximum values measured at each depth
191,1,odegard1992,digitized-continuous,1990-07-15,1990-09-30,,,,measurement_origin: Minimum values measured at each depth | date_max: Only summer 1990 measurements were used because a crevasse opened 1 m from the borehole over the winter
